id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
4604,"GEN&WS 423",299,192,58,22,4,15,3,3,A
4605,"GEN&WS/LEGAL ST/SOC 425",524,216,156,71,36,14,9,11,B
4606,"GEN&WS/FOLKLORE 428",76,71,4,0,1,0,0,0,A
4607,"GEN&WS/POLI SCI 429",77,52,15,7,1,2,0,0,A
4608,"GEN&WS/POLI SCI 435",79,37,29,5,2,2,0,0,A
4609,"GEN&WS/AMER IND/ANTHRO/FOLKLORE 437",224,146,40,12,9,4,4,6,A
4610,"GEN&WS/LITTRANS/SCAND ST 438",73,52,9,1,2,2,0,4,A
4611,"GEN&WS 441",475,184,168,82,16,7,1,9,B
4612,"GEN&WS/ANTHRO 443",285,68,115,78,5,2,0,1,B
4613,"GEN&WS 445",215,87,84,31,1,2,0,2,A
4614,"GEN&WS 446",48,27,16,4,0,1,0,0,A
4615,"GEN&WS 449",728,547,100,31,7,11,1,8,A
4616,"GEN&WS/PORTUG 450",115,74,12,11,4,4,0,2,A
4617,"GEN&WS/PORTUG 460",36,21,4,4,2,1,0,0,A
4618,"GEN&WS/ASIAN AM/ENGL 463",52,15,22,14,1,0,0,0,B
4619,"GEN&WS/ASIAN AM/ENGL 464",90,47,21,21,0,0,0,1,A
4620,"GEN&WS/FOLKLORE 467",64,51,7,3,0,0,0,0,A
4621,"GEN&WS/FOLKLORE 468",72,50,14,1,0,0,0,1,A
4622,"GEN&WS/POLI SCI 469",251,104,100,22,9,5,2,1,A
4623,"GEN&WS/GEOG 504",8,7,0,0,0,0,0,0,A
4624,"GEN&WS/GEOG 514",8,7,0,0,0,0,0,0,A
4625,"GEN&WS/HISTORY 519",65,41,10,8,2,0,0,0,A
4626,"GEN&WS/PSYCH 522",798,208,202,224,76,53,11,3,B
4627,"GEN&WS 523",116,87,23,1,0,1,0,2,A
4628,"GEN&WS 524",21,4,5,3,5,1,2,1,BC
4629,"GEN&WS 525",798,208,202,224,76,53,11,3,B
4630,"GEN&WS 527",798,208,202,224,76,53,11,3,B
4631,"GEN&WS 530",266,199,37,10,9,5,2,2,A
4632,"GEN&WS/HIST SCI/MED HIST 531",145,45,38,29,17,7,2,0,B
4633,"GEN&WS/HIST SCI/MED HIST 532",155,32,55,46,17,1,1,1,B
4634,"GEN&WS 533",1412,916,324,88,31,8,4,8,A
4635,"GEN&WS 534",89,55,26,3,1,2,1,1,A
4636,"GEN&WS/INTL ST 535",531,348,131,25,4,9,1,6,A
4637,"GEN&WS 536",39,34,4,0,0,0,0,0,A
4638,"GEN&WS/HIST SCI 537",116,114,0,0,0,0,0,0,A
4639,"GEN&WS 538",26,22,3,0,0,0,0,0,A
4640,"GEN&WS 539",144,89,28,15,7,1,0,0,A
4641,"GEN&WS/ENGL 545",81,38,27,9,1,5,0,0,A
4642,"GEN&WS 546",27,15,9,0,0,0,0,0,A
4643,"GEN&WS 547",71,34,23,7,2,0,1,0,A
4644,"GEN&WS/ED POL 560",391,290,57,17,8,3,5,2,A
