id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
13,"ACCT I S 100",16349,3543,2106,4949,1958,2719,689,185,BC
14,"ACCT I S 211",10746,2377,1399,3672,1002,1677,356,77,BC
15,"ACCT I S 300",6777,1850,1908,1528,768,395,148,69,B
16,"ACCT I S 301",7191,1843,1935,2085,725,398,80,17,B
17,"ACCT I S 302",2437,652,436,965,226,110,19,2,B
18,"ACCT I S 310",2477,901,571,696,163,97,31,6,B
19,"ACCT I S/LAW 329",988,269,251,195,140,72,17,12,B
20,"ACCT I S 340",2718,675,809,923,235,70,3,2,B
21,"ACCT I S 399",0,0,0,0,0,0,0,0,N/A
22,"ACCT I S 406",1260,361,222,497,86,77,4,0,B
23,"ACCT I S 600",1219,1102,96,19,0,1,0,0,A
24,"ACCT I S 601",1223,686,402,126,6,0,0,0,A
25,"ACCT I S 603",2099,977,640,444,19,2,0,0,A
26,"ACCT I S 620",2324,629,609,662,269,108,18,8,B
27,"ACCT I S 621",1352,417,333,403,140,46,4,2,B
28,"ACCT I S 630",2633,918,657,835,140,60,11,3,B
29,"ACCT I S 640",152,132,16,1,3,0,0,0,A
30,"ACCT I S 700",2787,1231,1189,335,19,8,1,2,A
31,"ACCT I S 701",95,37,29,20,6,2,1,0,B
32,"ACCT I S 702",58,26,8,18,5,1,0,0,B
33,"ACCT I S 706",1123,469,249,363,31,8,0,0,A
34,"ACCT I S 710",1243,822,254,140,16,5,0,0,A
35,"ACCT I S 722",406,164,100,118,19,3,0,0,B
36,"ACCT I S 724",450,435,14,1,0,0,0,0,A
37,"ACCT I S 725",276,140,80,47,6,2,0,0,A
38,"ACCT I S 726",178,149,24,4,0,0,0,0,A
39,"ACCT I S 730",318,201,62,49,1,0,0,0,A
40,"ACCT I S 740",160,98,42,20,0,0,0,0,A
41,"ACCT I S 765",1035,405,375,101,5,2,0,0,A
42,"ACCT I S 770",1183,685,355,121,16,5,1,0,A
43,"ACCT I S 771",598,492,68,32,3,1,0,0,A
44,"ACCT I S 772",359,165,116,69,7,1,0,0,A
45,"ACCT I S/E P D/GEN BUS 781",13,10,3,0,0,0,0,0,A
46,"ACCT I S 799",9,9,0,0,0,0,0,0,A
47,"ACCT I S 971",88,54,8,4,0,0,0,0,A
48,"ACCT I S 990",6,0,0,0,0,0,0,0,N/A
49,"ACCT I S 999",12,12,0,0,0,0,0,0,A
50,"ACT SCI 300",1414,1222,77,43,13,2,0,1,A
51,"ACT SCI 301",1717,1494,89,49,16,14,0,0,A
52,"ACT SCI 303",2064,600,516,488,224,133,55,20,B
53,"ACT SCI 365",217,171,12,17,8,7,1,0,A
54,"ACT SCI 399",1,1,0,0,0,0,0,0,A
55,"ACT SCI 650",1530,399,359,360,197,121,55,24,B
56,"ACT SCI 651",883,253,213,238,86,59,10,6,B
57,"ACT SCI 652",1536,386,363,472,160,97,23,21,B
58,"ACT SCI 653",940,272,231,246,98,48,13,8,B
59,"ACT SCI 654",901,265,245,229,101,33,5,6,B
60,"ACT SCI 655",153,55,40,34,11,6,0,1,B
61,"ACT SCI 657",20,8,9,3,0,0,0,0,A
62,"ACT SCI 765",14,9,0,1,0,0,0,0,A
63,"AFRICAN 100",685,550,78,27,15,6,5,2,A
64,"AFRICAN/HISTORY 129",453,103,145,103,48,22,9,9,B
65,"AFRICAN 201",1707,1006,361,160,69,46,12,30,A
66,"AFRICAN 202",155,114,27,9,0,0,0,1,A
67,"AFRICAN 203",98,59,22,6,2,0,1,2,A
68,"AFRICAN 204",156,96,35,13,3,2,0,3,A
69,"AFRICAN 206",155,114,27,9,0,0,0,1,A
70,"AFRICAN/FOLKLORE 210",6952,2902,1051,1167,793,616,156,180,B
71,"AFRICAN 212",114,86,9,11,0,0,0,2,A
72,"AFRICAN/AFROAMER 220",38,16,14,8,0,0,0,0,A
73,"AFRICAN 230",161,101,41,9,3,1,1,2,A
74,"AFRICAN 231",30,13,9,4,3,1,0,0,A
75,"AFRICAN 232",155,114,27,9,0,0,0,1,A
76,"AFRICAN/AFROAMER 233",906,301,223,134,95,78,24,19,B
77,"AFRICAN/FOLKLORE 270",178,72,35,24,22,14,3,3,B
78,"AFRICAN 275",36,27,5,1,2,0,1,0,A
79,"AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC 277",5865,1626,1688,1319,507,283,82,81,B
80,"AFRICAN/AFROAMER/HISTORY/POLI SCI 297",71,30,22,13,3,2,1,0,A
81,"AFRICAN 300",263,118,68,42,9,11,1,3,B
82,"AFRICAN/INTL ST 302",33,20,5,2,2,0,1,0,A
83,"AFRICAN 303",158,121,22,7,3,1,0,2,A
84,"AFRICAN 304",66,31,24,6,0,2,0,1,A
85,"AFRICAN 321",1195,673,215,155,56,42,14,14,A
86,"AFRICAN 322",773,437,162,87,37,15,12,6,A
87,"AFRICAN 323",555,246,122,104,35,18,9,4,B
88,"AFRICAN 324",315,129,73,64,26,9,4,0,B
89,"AFRICAN 325",115,72,15,17,2,2,1,0,A
90,"AFRICAN 326",28,22,2,2,0,0,0,1,A
91,"AFRICAN 329",44,15,17,8,0,3,0,0,B
92,"AFRICAN 330",33,11,13,5,0,1,0,1,B
93,"AFRICAN 331",352,182,102,41,14,3,1,1,A
94,"AFRICAN 332",212,95,57,30,10,8,1,2,A
95,"AFRICAN 333",140,51,43,26,10,5,3,1,B
96,"AFRICAN 334",68,36,21,4,5,1,0,1,A
97,"AFRICAN 335",31,23,5,2,1,0,0,0,A
98,"AFRICAN 336",6,5,1,0,0,0,0,0,A
99,"AFRICAN 337",0,0,0,0,0,0,0,0,N/A
100,"AFRICAN 338",0,0,0,0,0,0,0,0,N/A
101,"AFRICAN 339",0,0,0,0,0,0,0,0,N/A
102,"AFRICAN 340",263,118,68,42,9,11,1,3,B
103,"AFRICAN 341",66,31,24,6,0,2,0,1,A
104,"AFRICAN 342",212,95,57,30,10,8,1,2,A
105,"AFRICAN 343",158,121,22,7,3,1,0,2,A
106,"AFRICAN 344",68,36,21,4,5,1,0,1,A
107,"AFRICAN 361",0,0,0,0,0,0,0,0,N/A
108,"AFRICAN 362",0,0,0,0,0,0,0,0,N/A
109,"AFRICAN/ASIAN/RELIG ST 370",876,409,280,94,24,10,5,6,A
110,"AFRICAN 371",154,99,36,11,3,3,0,1,A
111,"AFRICAN 372",73,41,23,5,2,2,0,0,A
112,"AFRICAN 373",39,17,14,6,0,0,1,1,B
113,"AFRICAN 374",86,23,32,17,5,6,0,1,B
114,"AFRICAN 391",44,22,12,9,1,0,0,0,A
115,"AFRICAN 392",22,11,6,4,1,0,0,0,A
116,"AFRICAN 393",0,0,0,0,0,0,0,0,N/A
117,"AFRICAN 394",0,0,0,0,0,0,0,0,N/A
118,"AFRICAN 399",0,0,0,0,0,0,0,0,N/A
119,"AFRICAN 402",130,75,32,14,2,3,0,0,A
120,"AFRICAN 403",12,10,1,0,0,0,0,0,A
121,"AFRICAN 405",162,107,25,14,2,1,0,3,A
122,"AFRICAN 406",23,20,2,0,0,0,0,0,A
123,"AFRICAN 407",14,7,6,1,0,0,0,0,A
124,"AFRICAN 409",8,6,2,0,0,0,0,0,A
125,"AFRICAN 412",144,80,38,16,2,2,3,0,A
126,"AFRICAN/AFROAMER 413",110,44,20,30,7,5,0,1,B
127,"AFRICAN/RELIG ST 414",12,9,2,1,0,0,0,0,A
128,"AFRICAN 435",34,23,11,0,0,0,0,0,A
129,"AFRICAN 436",29,17,10,0,0,1,0,0,A
130,"AFRICAN/FRENCH 440",60,35,13,8,1,0,0,0,A
131,"AFRICAN/COM ARTS/L I S 444",0,0,0,0,0,0,0,0,N/A
132,"AFRICAN 445",137,64,29,19,8,3,0,0,A
133,"AFRICAN/PORTUG 451",39,22,4,6,1,1,0,0,A
134,"AFRICAN 453",57,36,13,4,1,0,0,3,A
135,"AFRICAN 475",16,4,7,2,0,2,0,1,B
136,"AFRICAN 476",9,7,1,1,0,0,0,0,A
137,"AFRICAN 500",139,106,25,3,0,0,0,1,A
138,"AFRICAN 605",33,27,0,3,0,0,0,2,A
139,"AFRICAN 606",16,7,5,0,0,1,0,0,A
140,"AFRICAN 609",16,14,0,0,0,1,0,0,A
141,"AFRICAN 669",147,67,29,27,12,7,1,1,B
142,"AFRICAN 670",26,23,2,0,0,0,0,0,A
143,"AFRICAN 671",69,59,5,4,0,0,0,0,A
144,"AFRICAN 672",69,59,5,4,0,0,0,0,A
145,"AFRICAN 681",69,59,5,4,0,0,0,0,A
146,"AFRICAN 697",0,0,0,0,0,0,0,0,N/A
147,"AFRICAN 698",2,2,0,0,0,0,0,0,A
148,"AFRICAN 699",2,2,0,0,0,0,0,0,A
149,"AFRICAN 700",9,7,0,0,0,0,0,0,A
150,"AFRICAN 701",9,5,1,2,1,0,0,0,A
151,"AFRICAN 703",15,12,1,1,0,0,0,0,A
152,"AFRICAN 704",34,24,8,1,0,0,0,0,A
153,"AFRICAN 705",0,0,0,0,0,0,0,0,N/A
154,"AFRICAN 796",0,0,0,0,0,0,0,0,N/A
155,"AFRICAN 802",0,0,0,0,0,0,0,0,N/A
156,"AFRICAN 803",29,21,2,1,1,0,0,0,A
157,"AFRICAN 804",6,0,0,0,0,0,0,0,N/A
158,"AFRICAN/AFROAMER 813",110,44,20,30,7,5,0,1,B
159,"AFRICAN 901",60,47,8,2,0,0,0,0,A
160,"AFRICAN 905",60,48,7,3,0,0,0,0,A
161,"AFRICAN 926",8,7,1,0,0,0,0,0,A
162,"AFRICAN/ANTHRO/ECON/GEOG/HISTORY/POLI SCI 983",15,6,6,1,0,0,0,0,A
163,"AFRICAN 990",59,0,0,0,0,0,0,0,N/A
164,"AFRICAN 999",2,1,0,0,0,0,0,0,A
165,"AFROAMER/AMER IND/ASIAN AM/CHICLA/FOLKLORE 102",1567,1066,256,145,25,24,6,7,A
166,"AFROAMER 151",666,56,220,174,92,37,16,12,B
167,"AFROAMER 154",2711,2007,469,135,34,10,6,4,A
168,"AFROAMER 155",198,90,45,44,11,4,2,2,B
169,"AFROAMER 156",8084,4751,2093,809,55,25,7,4,A
170,"AFROAMER 199",420,363,35,11,1,5,1,1,A
171,"AFROAMER/AFRICAN 220",38,16,14,8,0,0,0,0,A
172,"AFROAMER/GEN&WS 221",148,70,43,18,5,5,2,0,A
173,"AFROAMER/GEN&WS 222",1063,502,243,188,34,50,14,11,B
174,"AFROAMER 225",438,294,78,22,16,10,8,7,A
175,"AFROAMER 227",2180,914,598,369,127,83,23,25,B
176,"AFROAMER 231",2598,1329,412,526,98,102,39,13,A
177,"AFROAMER/AFRICAN 233",906,301,223,134,95,78,24,19,B
178,"AFROAMER/ART HIST 241",877,395,234,98,26,16,7,2,A
179,"AFROAMER/ART HIST 242",1356,674,314,195,50,39,16,5,A
180,"AFROAMER/ANTHRO/C&E SOC/GEOG/HISTORY/LACIS/POLI SCI/SOC/SPANISH 260",1388,616,292,229,76,65,12,22,B
181,"AFROAMER 265",143,85,30,19,4,2,0,0,A
182,"AFROAMER/GEN&WS 267",75,51,15,5,0,0,0,0,A
183,"AFROAMER 271",1091,745,203,67,15,16,9,4,A
184,"AFROAMER 272",941,629,135,81,3,4,0,2,A
185,"AFROAMER/HIST SCI 275",357,167,118,37,13,9,3,5,A
186,"AFROAMER/AFRICAN/ANTHRO/GEOG/HISTORY/POLI SCI/SOC 277",5865,1626,1688,1319,507,283,82,81,B
187,"AFROAMER/AFRICAN/HISTORY/POLI SCI 297",71,30,22,13,3,2,1,0,A
188,"AFROAMER 302",125,39,22,39,10,3,3,1,B
189,"AFROAMER 303",349,112,109,62,30,9,6,1,B
190,"AFROAMER/DANCE/MUSIC 318",260,226,7,6,1,1,0,4,A
191,"AFROAMER/ASIAN AM/DANCE/FOLKLORE 319",46,36,6,0,1,2,0,0,A
192,"AFROAMER/HISTORY 321",142,20,69,24,3,3,4,6,B
193,"AFROAMER/HISTORY 322",31,16,5,8,2,0,0,0,A
194,"AFROAMER/GEN&WS 323",36,28,3,1,0,0,0,2,A
195,"AFROAMER/GEN&WS 324",324,103,72,100,17,18,3,0,B
196,"AFROAMER/GEN&WS 326",678,221,138,194,42,42,10,4,B
197,"AFROAMER/GEN&WS 333",263,104,117,23,6,6,2,2,A
198,"AFROAMER 337",49,29,10,3,1,2,2,1,A
199,"AFROAMER 338",181,130,23,10,3,2,0,0,A
200,"AFROAMER/HISTORY 347",582,180,163,111,34,41,16,16,B
201,"AFROAMER/GEN&WS 367",26,12,5,5,0,0,0,0,A
202,"AFROAMER/HISTORY 393",1018,261,248,240,68,58,20,17,B
203,"AFROAMER/RELIG ST 404",24,4,12,4,2,0,1,1,B
204,"AFROAMER/AFRICAN 413",110,44,20,30,7,5,0,1,B
205,"AFROAMER 456",37,20,7,3,2,2,0,0,A
206,"AFROAMER 469",353,256,50,19,8,3,3,1,A
207,"AFROAMER 501",23,9,6,2,1,3,1,0,B
208,"AFROAMER/POLI SCI 519",131,41,54,16,8,2,0,3,B
209,"AFROAMER/HIST SCI/MED HIST 523",218,113,60,25,2,1,1,0,A
210,"AFROAMER 525",147,69,24,24,6,8,4,3,B
211,"AFROAMER/ED POL 567",127,63,38,6,5,0,4,0,A
212,"AFROAMER/GEN&WS 624",94,31,18,19,7,7,3,3,B
213,"AFROAMER/GEN&WS 625",83,24,21,19,6,4,2,0,B
214,"AFROAMER/HISTORY 628",496,74,214,103,27,26,3,19,B
215,"AFROAMER 631",37,5,14,7,1,3,1,1,B
216,"AFROAMER 669",23,8,6,6,1,0,0,0,A
217,"AFROAMER 671",303,127,68,58,14,10,1,3,B
218,"AFROAMER/ENGL 672",362,177,60,69,12,7,4,4,A
219,"AFROAMER 673",158,33,77,32,4,3,0,1,B
220,"AFROAMER 675",128,64,24,23,3,2,1,4,B
221,"AFROAMER/GEN&WS 677",91,39,20,19,1,6,1,2,B
222,"AFROAMER/GEN&WS 679",85,54,15,10,3,1,0,0,A
223,"AFROAMER 681",303,127,68,58,14,10,1,3,B
224,"AFROAMER 682",496,74,214,103,27,26,3,19,B
225,"AFROAMER 691",0,0,0,0,0,0,0,0,N/A
226,"AFROAMER 692",0,0,0,0,0,0,0,0,N/A
227,"AFROAMER 699",37,24,4,5,0,1,0,1,A
228,"AFROAMER/ED POL/HISTORY 712",17,16,1,0,0,0,0,0,A
229,"AFROAMER 790",7,0,0,0,0,0,0,0,N/A
230,"AFROAMER/ART HIST 801",160,133,9,1,0,0,0,0,A
231,"AFROAMER/ART HIST 802",98,80,8,0,0,0,0,0,A
232,"AFROAMER/AFRICAN 813",110,44,20,30,7,5,0,1,B
233,"A A E 1",0,0,0,0,0,0,0,0,N/A
234,"A A E 215",4161,1021,833,1266,478,376,118,35,B
235,"A A E/ENVIR ST 244",799,309,174,161,60,66,12,6,B
236,"A A E 246",558,201,117,144,37,35,10,5,B
237,"A A E 267",54,49,3,2,0,0,0,0,A
238,"A A E 289",0,0,0,0,0,0,0,0,N/A
239,"A A E 299",0,0,0,0,0,0,0,0,N/A
240,"A A E/ECON/REAL EST/URB R PL 306",8903,2832,1786,2288,937,743,176,38,B
241,"A A E 319",192,50,45,47,21,20,4,5,B
242,"A A E 320",828,294,221,151,53,71,22,13,B
243,"A A E 322",882,227,126,209,105,138,42,17,BC
244,"A A E 323",494,127,126,139,35,37,16,8,B
245,"A A E 335",362,211,92,30,5,6,3,9,A
246,"A A E/C&E SOC/SOC 340",263,223,24,7,0,3,1,2,A
247,"A A E/ECON/ENVIR ST 343",2930,689,509,736,366,397,117,66,BC
248,"A A E/AGRONOMY/NUTR SCI 350",3677,1530,1046,592,261,134,55,17,B
249,"A A E 352",278,111,67,39,28,20,7,6,B
250,"A A E/AGRONOMY/HORT/PL PATH 367",27,17,7,1,0,0,0,0,A
251,"A A E/ECON 371",182,54,51,53,17,4,1,1,B
252,"A A E/INTL ST 373",557,181,172,141,20,16,5,2,B
253,"A A E/INTL ST 374",777,219,214,183,69,42,16,21,B
254,"A A E 375",852,540,158,81,22,17,4,5,A
255,"A A E 399",15,14,1,0,0,0,0,0,A
256,"A A E 400",6,5,1,0,0,0,0,0,A
257,"A A E 419",616,311,112,100,42,20,18,4,B
258,"A A E/ECON 421",637,144,133,127,81,77,44,16,BC
259,"A A E 422",45,5,15,9,8,5,3,0,BC
260,"A A E/ECON/INTL BUS 462",541,273,125,81,28,12,8,7,A
261,"A A E/ECON 473",314,105,65,63,37,19,7,6,B
262,"A A E/ECON 474",908,393,193,151,74,63,15,7,B
263,"A A E/ECON 477",426,142,110,87,34,20,14,11,B
264,"A A E 500",491,322,58,57,17,26,0,4,A
265,"A A E/REAL EST/URB R PL 520",83,57,17,6,0,0,0,0,A
266,"A A E/ECON 526",78,24,20,11,7,7,1,0,B
267,"A A E/ECON/F&W ECOL 531",265,74,73,73,19,19,1,0,B
268,"A A E/M H R 540",56,19,15,14,2,3,0,0,B
269,"A A E/CIV ENGR/ENVIR ST/URB R PL 561",70,40,11,15,0,2,0,0,A
270,"A A E 601",1171,704,277,111,29,17,4,4,A
271,"A A E 625",8,8,0,0,0,0,0,0,A
272,"A A E 635",308,83,107,87,18,3,1,0,B
273,"A A E 636",464,223,106,94,20,2,6,3,A
274,"A A E 637",202,53,34,32,4,1,0,0,A
275,"A A E 641",33,26,4,1,1,0,0,0,A
276,"A A E 642",87,47,24,8,1,0,0,0,A
277,"A A E 643",130,77,22,17,6,3,2,0,A
278,"A A E/F&W ECOL 652",157,83,29,23,11,6,3,0,A
279,"A A E 670",11,9,1,0,0,0,0,0,A
280,"A A E/ECON/ENVIR ST/URB R PL 671",505,240,104,83,25,33,6,1,B
281,"A A E 681",0,0,0,0,0,0,0,0,N/A
282,"A A E 682",0,0,0,0,0,0,0,0,N/A
283,"A A E 691",0,0,0,0,0,0,0,0,N/A
284,"A A E 692",1,1,0,0,0,0,0,0,A
285,"A A E 699",55,20,11,8,6,5,3,2,B
286,"A A E 701",107,87,11,4,1,2,0,0,A
287,"A A E 705",20,11,6,0,1,1,0,0,A
288,"A A E 706",119,73,35,7,0,0,0,1,A
289,"A A E 718",224,105,81,27,1,0,0,0,A
290,"A A E 719",11,4,4,3,0,0,0,0,A
291,"A A E 720",80,49,23,6,1,0,0,0,A
292,"A A E 721",84,47,24,9,2,0,0,0,A
293,"A A E 722",32,15,10,6,1,0,0,0,A
294,"A A E 723",53,48,2,2,0,0,0,0,A
295,"A A E 724",42,9,5,7,1,0,0,0,A
296,"A A E 730",61,26,15,12,6,0,0,0,A
297,"A A E 731",70,11,13,2,0,0,0,1,A
298,"A A E 737",58,18,30,10,0,0,0,0,A
299,"A A E 746",0,0,0,0,0,0,0,0,N/A
300,"A A E/ECON 747",15,14,0,0,0,0,0,0,A
301,"A A E 750",309,221,63,19,1,0,0,0,A
302,"A A E 760",45,37,3,0,0,0,0,0,A
303,"A A E 762",73,49,14,4,0,1,0,0,A
304,"A A E 770",32,12,13,5,0,0,0,0,A
305,"A A E 771",73,19,27,22,4,1,0,0,B
306,"A A E 772",108,51,28,17,5,3,0,0,A
307,"A A E 773",112,64,32,14,2,0,0,0,A
308,"A A E 774",64,46,10,7,1,0,0,0,A
309,"A A E 776",0,0,0,0,0,0,0,0,N/A
310,"A A E 777",55,25,16,8,5,0,0,0,A
311,"A A E 780",63,54,7,1,0,0,0,0,A
312,"A A E 799",0,0,0,0,0,0,0,0,N/A
313,"A A E/POLI SCI 835",172,70,72,28,2,0,0,0,A
314,"A A E 875",88,53,12,9,0,0,0,0,A
315,"A A E/ENVIR ST/POP HLTH/PUB AFFR 881",587,370,140,52,9,4,0,0,A
316,"A A E 899",627,464,91,31,1,3,0,0,A
317,"A A E/ANTHRO/C&E SOC/GEOG/HISTORY/LACIS/POLI SCI/PORTUG/SOC/SPANISH 982",151,106,35,5,0,0,0,0,A
318,"A A E 990",126,0,0,0,0,0,0,0,N/A
319,"A A E 999",4,2,1,0,0,0,0,0,A
320,"AGROECOL/AGRONOMY/C&E SOC/ENTOM/ENVIR ST 103",1044,559,228,145,46,25,12,6,A
321,"AGROECOL/AGRONOMY/DY SCI 371",8,8,0,0,0,0,0,0,A
322,"AGROECOL 699",11,10,0,0,0,0,0,0,A
323,"AGROECOL 701",170,166,1,1,0,0,0,0,A
324,"AGROECOL 702",181,175,3,3,0,0,0,0,A
325,"AGROECOL 710",20,0,0,0,0,0,0,0,N/A
326,"AGROECOL 720",166,165,0,0,0,0,0,0,A
327,"AGROECOL/AGRONOMY/ENVIR ST 724",124,92,21,4,2,1,0,0,A
328,"AGROECOL 875",13,13,0,0,0,0,0,0,A
329,"AGROECOL 990",8,0,0,0,0,0,0,0,N/A
330,"AGRONOMY 100",978,310,236,253,77,73,5,6,B
331,"AGRONOMY/AGROECOL/C&E SOC/ENTOM/ENVIR ST 103",1044,559,228,145,46,25,12,6,A
332,"AGRONOMY/ENTOM/NUTR SCI 203",5860,4280,963,485,39,42,18,4,A
333,"AGRONOMY 289",19,17,1,0,0,1,0,0,A
334,"AGRONOMY 299",19,17,1,0,0,1,0,0,A
335,"AGRONOMY 300",448,171,62,109,25,62,3,0,B
336,"AGRONOMY 302",264,120,46,53,13,23,3,1,B
337,"AGRONOMY/HORT/SOIL SCI 326",321,114,68,87,2,31,10,3,B
338,"AGRONOMY/HORT 338",493,181,47,128,35,57,24,15,B
339,"AGRONOMY/BOTANY/HORT 339",155,81,38,24,9,3,0,0,A
340,"AGRONOMY/BOTANY/HORT 340",87,25,20,23,4,10,1,3,B
341,"AGRONOMY/A A E/NUTR SCI 350",3677,1530,1046,592,261,134,55,17,B
342,"AGRONOMY/ENTOM/HORT/PL PATH/SOIL SCI 354",24,12,6,4,1,0,0,0,A
343,"AGRONOMY/HORT 360",142,45,35,32,8,10,4,3,B
344,"AGRONOMY/A A E/HORT/PL PATH 367",27,17,7,1,0,0,0,0,A
345,"AGRONOMY/BOTANY/SOIL SCI 370",1305,1124,99,34,14,11,5,8,A
346,"AGRONOMY/AGROECOL/DY SCI 371",8,8,0,0,0,0,0,0,A
347,"AGRONOMY 375",551,327,90,86,22,9,2,2,A
348,"AGRONOMY/HORT 376",249,184,41,13,5,1,1,0,A
349,"AGRONOMY 377",416,294,52,45,3,11,0,1,A
350,"AGRONOMY 399",10,9,0,0,0,0,0,0,A
351,"AGRONOMY 400",448,171,62,109,25,62,3,0,B
352,"AGRONOMY/DY SCI 471",99,78,10,8,1,1,0,0,A
353,"AGRONOMY 500",192,147,30,11,0,0,0,0,A
354,"AGRONOMY/HORT 501",313,88,57,74,34,30,11,4,B
355,"AGRONOMY/HORT 502",68,46,14,4,3,0,0,0,A
356,"AGRONOMY/ATM OCN/SOIL SCI 532",145,95,30,17,0,1,0,0,A
357,"AGRONOMY/C&E SOC/MED HIST/PHILOS 565",229,80,79,39,17,8,0,1,B
358,"AGRONOMY/AN SCI/GENETICS/HORT 615",21,9,6,2,0,0,0,0,A
359,"AGRONOMY/ENTOM/F&W ECOL/M&ENVTOX 632",205,83,53,38,16,8,1,1,B
360,"AGRONOMY/ENTOM/F&W ECOL/M&ENVTOX 633",134,76,25,24,2,4,0,0,A
361,"AGRONOMY/ENTOM/F&W ECOL/M&ENVTOX 634",123,49,35,29,4,4,0,0,A
362,"AGRONOMY 681",0,0,0,0,0,0,0,0,N/A
363,"AGRONOMY 682",0,0,0,0,0,0,0,0,N/A
364,"AGRONOMY 699",26,20,2,1,0,0,0,0,A
365,"AGRONOMY/AGROECOL/ENVIR ST 724",124,92,21,4,2,1,0,0,A
366,"AGRONOMY 771",14,0,0,0,0,0,0,0,N/A
367,"AGRONOMY 772",16,0,0,0,0,0,0,0,N/A
368,"AGRONOMY 799",10,8,0,0,0,0,0,0,A
369,"AGRONOMY/HORT 811",132,74,31,15,5,0,0,0,A
370,"AGRONOMY/HORT 812",30,12,10,2,1,0,0,0,A
371,"AGRONOMY 875",374,304,35,6,2,1,1,0,A
372,"AGRONOMY 920",58,57,1,0,0,0,0,0,A
373,"AGRONOMY/ATM OCN/BOTANY/ENTOM/ENVIR ST/F&W ECOL/GEOG/ZOOLOGY 953",82,0,0,0,0,0,0,0,N/A
374,"AGRONOMY/GENETICS/HORT 957",436,335,70,25,2,1,0,0,A
375,"AGRONOMY 990",166,0,0,0,0,0,0,0,N/A
376,"A F AERO 101",440,302,88,29,8,7,1,1,A
377,"A F AERO 102",340,260,56,15,5,1,1,0,A
378,"A F AERO 201",358,254,80,11,5,3,0,1,A
379,"A F AERO 202",251,179,53,10,4,2,0,1,A
380,"A F AERO 301",129,118,9,2,0,0,0,0,A
381,"A F AERO 302",100,95,5,0,0,0,0,0,A
382,"A F AERO 401",221,169,46,5,0,0,0,0,A
383,"A F AERO 402",187,146,35,5,1,0,0,0,A
384,"A F AERO 501",119,0,0,0,0,0,0,0,N/A
385,"A F AERO 502",116,0,0,0,0,0,0,0,N/A
386,"AMER IND 100",3323,1905,760,341,132,76,26,33,A
387,"AMER IND/AFROAMER/ASIAN AM/CHICLA/FOLKLORE 102",1567,1066,256,145,25,24,6,7,A
388,"AMER IND/ENGL 172",1473,628,368,263,110,42,19,21,B
389,"AMER IND/HISTORY 190",67,45,7,4,0,3,1,1,A
390,"AMER IND 199",67,45,7,4,0,3,1,1,A
391,"AMER IND/ENGL 246",94,62,17,7,3,1,2,1,A
392,"AMER IND 250",360,186,59,48,30,12,2,1,A
393,"AMER IND 301",209,96,52,26,6,9,6,8,B
394,"AMER IND 302",57,34,0,14,3,0,1,0,A
395,"AMER IND 303",59,51,1,1,2,0,0,2,A
396,"AMER IND 304",7,5,0,0,1,0,0,1,B
397,"AMER IND/ENVIR ST 306",904,466,244,87,28,19,7,12,A
398,"AMER IND 308",14,11,0,1,0,0,0,0,A
399,"AMER IND/ANTHRO 314",2067,472,365,435,288,367,44,27,BC
400,"AMER IND 320",169,80,30,25,18,7,0,3,B
401,"AMER IND 325",234,132,47,22,6,10,2,5,A
402,"AMER IND/CSCS 330",172,108,23,14,7,6,1,4,A
403,"AMER IND/ENVIR ST 341",39,19,11,0,1,2,0,0,A
404,"AMER IND/ENVIR ST/GEOG 345",191,76,59,33,4,2,0,2,A
405,"AMER IND/ANTHRO 354",241,97,41,43,24,17,3,4,B
406,"AMER IND/LINGUIS 371",332,224,68,22,4,1,1,2,A
407,"AMER IND 401",24,14,1,4,2,1,0,2,B
408,"AMER IND 402",7,7,0,0,0,0,0,0,A
409,"AMER IND 403",0,0,0,0,0,0,0,0,N/A
410,"AMER IND 404",7,7,0,0,0,0,0,0,A
411,"AMER IND/GEOG 410",33,24,1,5,1,0,0,0,A
412,"AMER IND 425",0,0,0,0,0,0,0,0,N/A
413,"AMER IND/ANTHRO/FOLKLORE 431",94,53,15,9,4,4,4,1,B
414,"AMER IND/ANTHRO/FOLKLORE/GEN&WS 437",224,146,40,12,9,4,4,6,A
415,"AMER IND/LSC 444",375,214,76,31,11,16,1,2,A
416,"AMER IND 450",1303,741,226,171,38,57,10,10,A
417,"AMER IND/ANTHRO/BOTANY 474",661,400,120,73,23,12,8,1,A
418,"AMER IND/C&E SOC/SOC 578",306,95,71,40,22,30,12,7,B
419,"AMER IND/SOC WORK 636",32,25,5,1,1,0,0,0,A
420,"AMER IND 699",17,17,0,0,0,0,0,0,A
421,"AMER IND/HISTORY 941",15,12,1,0,0,0,0,0,A
422,"ANATOMY 329",2314,1314,455,329,96,94,18,7,A
423,"ANATOMY 622",59,29,25,3,1,0,0,0,A
424,"ANATOMY 699",149,142,3,2,0,0,0,0,A
425,"ANAT&PHY 235",611,156,144,145,84,49,12,10,B
426,"ANAT&PHY 335",4407,1211,504,1074,393,691,323,108,BC
427,"ANAT&PHY 337",3813,1170,735,593,417,508,223,81,B
428,"ANAT&PHY 338",1969,729,435,326,188,174,54,18,B
429,"ANAT&PHY 399",72,72,0,0,0,0,0,0,A
