block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
ACCT I S 100,16349,3543,2106,4949,1958,2719,689,185,BC
ACCT I S 211,10746,2377,1399,3672,1002,1677,356,77,BC
ACCT I S 300,6777,1850,1908,1528,768,395,148,69,B
ACCT I S 301,7191,1843,1935,2085,725,398,80,17,B
ACCT I S 302,2437,652,436,965,226,110,19,2,B
ACCT I S 310,2477,901,571,696,163,97,31,6,B
ACCT I S/LAW 329,988,269,251,195,140,72,17,12,B
ACCT I S 340,2718,675,809,923,235,70,3,2,B
ACCT I S 399,0,0,0,0,0,0,0,0,
ACCT I S 406,1260,361,222,497,86,77,4,0,B
ACCT I S 600,1219,1102,96,19,0,1,0,0,A
ACCT I S 601,1223,686,402,126,6,0,0,0,A
ACCT I S 603,2099,977,640,444,19,2,0,0,A
ACCT I S 620,2324,629,609,662,269,108,18,8,B
ACCT I S 621,1352,417,333,403,140,46,4,2,B
ACCT I S 630,2633,918,657,835,140,60,11,3,B
ACCT I S 640,152,132,16,1,3,0,0,0,A
ACCT I S 700,2787,1231,1189,335,19,8,1,2,A
ACCT I S 701,95,37,29,20,6,2,1,0,B
ACCT I S 702,58,26,8,18,5,1,0,0,B
ACCT I S 706,1123,469,249,363,31,8,0,0,A
ACCT I S 710,1243,822,254,140,16,5,0,0,A
ACCT I S 722,406,164,100,118,19,3,0,0,B
ACCT I S 724,450,435,14,1,0,0,0,0,A
ACCT I S 725,276,140,80,47,6,2,0,0,A
ACCT I S 726,178,149,24,4,0,0,0,0,A
ACCT I S 730,318,201,62,49,1,0,0,0,A
ACCT I S 740,160,98,42,20,0,0,0,0,A
ACCT I S 765,1035,405,375,101,5,2,0,0,A
ACCT I S 770,1183,685,355,121,16,5,1,0,A
ACCT I S 771,598,492,68,32,3,1,0,0,A
ACCT I S 772,359,165,116,69,7,1,0,0,A
ACCT I S/E P D/GEN BUS 781,13,10,3,0,0,0,0,0,A
ACCT I S 799,9,9,0,0,0,0,0,0,A
ACCT I S 971,88,54,8,4,0,0,0,0,A
ACCT I S 990,6,0,0,0,0,0,0,0,
ACCT I S 999,12,12,0,0,0,0,0,0,A
ACT SCI 300,1414,1222,77,43,13,2,0,1,A
ACT SCI 301,1717,1494,89,49,16,14,0,0,A
ACT SCI 303,2064,600,516,488,224,133,55,20,B
ACT SCI 365,217,171,12,17,8,7,1,0,A
ACT SCI 399,1,1,0,0,0,0,0,0,A
ACT SCI 650,1530,399,359,360,197,121,55,24,B
ACT SCI 651,883,253,213,238,86,59,10,6,B
ACT SCI 652,1536,386,363,472,160,97,23,21,B
ACT SCI 653,940,272,231,246,98,48,13,8,B
ACT SCI 654,901,265,245,229,101,33,5,6,B
ACT SCI 655,153,55,40,34,11,6,0,1,B
ACT SCI 657,20,8,9,3,0,0,0,0,A
ACT SCI 765,14,9,0,1,0,0,0,0,A
AFRICAN 100,685,550,78,27,15,6,5,2,A
AFRICAN/HISTORY 129,453,103,145,103,48,22,9,9,B
AFRICAN 201,1707,1006,361,160,69,46,12,30,A
AFRICAN 202,155,114,27,9,0,0,0,1,A
AFRICAN 203,98,59,22,6,2,0,1,2,A
AFRICAN 204,156,96,35,13,3,2,0,3,A
AFRICAN 206,155,114,27,9,0,0,0,1,A
AFRICAN/FOLKLORE 210,6952,2902,1051,1167,793,616,156,180,B
AFRICAN 212,114,86,9,11,0,0,0,2,A
AFRICAN/AFROAMER 220,38,16,14,8,0,0,0,0,A
AFRICAN 230,161,101,41,9,3,1,1,2,A
AFRICAN 231,30,13,9,4,3,1,0,0,A
AFRICAN 232,155,114,27,9,0,0,0,1,A
AFRICAN/AFROAMER 233,906,301,223,134,95,78,24,19,B
AFRICAN/FOLKLORE 270,178,72,35,24,22,14,3,3,B
AFRICAN 275,36,27,5,1,2,0,1,0,A
AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC 277,5865,1626,1688,1319,507,283,82,81,B
AFRICAN/AFROAMER/HISTORY/POLI SCI 297,71,30,22,13,3,2,1,0,A
AFRICAN 300,263,118,68,42,9,11,1,3,B
AFRICAN/INTL ST 302,33,20,5,2,2,0,1,0,A
AFRICAN 303,158,121,22,7,3,1,0,2,A
AFRICAN 304,66,31,24,6,0,2,0,1,A
AFRICAN 321,1195,673,215,155,56,42,14,14,A
AFRICAN 322,773,437,162,87,37,15,12,6,A
AFRICAN 323,555,246,122,104,35,18,9,4,B
AFRICAN 324,315,129,73,64,26,9,4,0,B
AFRICAN 325,115,72,15,17,2,2,1,0,A
AFRICAN 326,28,22,2,2,0,0,0,1,A
AFRICAN 329,44,15,17,8,0,3,0,0,B
AFRICAN 330,33,11,13,5,0,1,0,1,B
AFRICAN 331,352,182,102,41,14,3,1,1,A
AFRICAN 332,212,95,57,30,10,8,1,2,A
AFRICAN 333,140,51,43,26,10,5,3,1,B
AFRICAN 334,68,36,21,4,5,1,0,1,A
AFRICAN 335,31,23,5,2,1,0,0,0,A
AFRICAN 336,6,5,1,0,0,0,0,0,A
AFRICAN 337,0,0,0,0,0,0,0,0,
AFRICAN 338,0,0,0,0,0,0,0,0,
AFRICAN 339,0,0,0,0,0,0,0,0,
AFRICAN 340,263,118,68,42,9,11,1,3,B
AFRICAN 341,66,31,24,6,0,2,0,1,A
AFRICAN 342,212,95,57,30,10,8,1,2,A
AFRICAN 343,158,121,22,7,3,1,0,2,A
AFRICAN 344,68,36,21,4,5,1,0,1,A
AFRICAN 361,0,0,0,0,0,0,0,0,
AFRICAN 362,0,0,0,0,0,0,0,0,
AFRICAN/ASIAN/RELIG ST 370,876,409,280,94,24,10,5,6,A
AFRICAN 371,154,99,36,11,3,3,0,1,A
AFRICAN 372,73,41,23,5,2,2,0,0,A
AFRICAN 373,39,17,14,6,0,0,1,1,B
AFRICAN 374,86,23,32,17,5,6,0,1,B
AFRICAN 391,44,22,12,9,1,0,0,0,A
AFRICAN 392,22,11,6,4,1,0,0,0,A
AFRICAN 393,0,0,0,0,0,0,0,0,
AFRICAN 394,0,0,0,0,0,0,0,0,
AFRICAN 399,0,0,0,0,0,0,0,0,
AFRICAN 402,130,75,32,14,2,3,0,0,A
AFRICAN 403,12,10,1,0,0,0,0,0,A
AFRICAN 405,162,107,25,14,2,1,0,3,A
AFRICAN 406,23,20,2,0,0,0,0,0,A
AFRICAN 407,14,7,6,1,0,0,0,0,A
AFRICAN 409,8,6,2,0,0,0,0,0,A
AFRICAN 412,144,80,38,16,2,2,3,0,A
AFRICAN/AFROAMER 413,110,44,20,30,7,5,0,1,B
AFRICAN/RELIG ST 414,12,9,2,1,0,0,0,0,A
AFRICAN 435,34,23,11,0,0,0,0,0,A
AFRICAN 436,29,17,10,0,0,1,0,0,A
AFRICAN/FRENCH 440,60,35,13,8,1,0,0,0,A
AFRICAN/COM ARTS/L I S 444,0,0,0,0,0,0,0,0,
AFRICAN 445,137,64,29,19,8,3,0,0,A
AFRICAN/PORTUG 451,39,22,4,6,1,1,0,0,A
AFRICAN 453,57,36,13,4,1,0,0,3,A
AFRICAN 475,16,4,7,2,0,2,0,1,B
AFRICAN 476,9,7,1,1,0,0,0,0,A
AFRICAN 500,139,106,25,3,0,0,0,1,A
AFRICAN 605,33,27,0,3,0,0,0,2,A
AFRICAN 606,16,7,5,0,0,1,0,0,A
AFRICAN 609,16,14,0,0,0,1,0,0,A
AFRICAN 669,147,67,29,27,12,7,1,1,B
AFRICAN 670,26,23,2,0,0,0,0,0,A
AFRICAN 671,69,59,5,4,0,0,0,0,A
AFRICAN 672,69,59,5,4,0,0,0,0,A
AFRICAN 681,69,59,5,4,0,0,0,0,A
AFRICAN 697,0,0,0,0,0,0,0,0,
AFRICAN 698,2,2,0,0,0,0,0,0,A
AFRICAN 699,2,2,0,0,0,0,0,0,A
AFRICAN 700,9,7,0,0,0,0,0,0,A
AFRICAN 701,9,5,1,2,1,0,0,0,A
AFRICAN 703,15,12,1,1,0,0,0,0,A
AFRICAN 704,34,24,8,1,0,0,0,0,A
AFRICAN 705,0,0,0,0,0,0,0,0,
AFRICAN 796,0,0,0,0,0,0,0,0,
AFRICAN 802,0,0,0,0,0,0,0,0,
AFRICAN 803,29,21,2,1,1,0,0,0,A
AFRICAN 804,6,0,0,0,0,0,0,0,
AFRICAN/AFROAMER 813,110,44,20,30,7,5,0,1,B
AFRICAN 901,60,47,8,2,0,0,0,0,A
AFRICAN 905,60,48,7,3,0,0,0,0,A
AFRICAN 926,8,7,1,0,0,0,0,0,A
AFRICAN/ANTHRO/ECON/GEOG/HISTORY/POLI SCI 983,15,6,6,1,0,0,0,0,A
AFRICAN 990,59,0,0,0,0,0,0,0,
AFRICAN 999,2,1,0,0,0,0,0,0,A
AFROAMER/AMER IND/ASIAN AM/CHICLA/FOLKLORE 102,1567,1066,256,145,25,24,6,7,A
AFROAMER 151,666,56,220,174,92,37,16,12,B
AFROAMER 154,2711,2007,469,135,34,10,6,4,A
AFROAMER 155,198,90,45,44,11,4,2,2,B
AFROAMER 156,8084,4751,2093,809,55,25,7,4,A
AFROAMER 199,420,363,35,11,1,5,1,1,A
AFROAMER/AFRICAN 220,38,16,14,8,0,0,0,0,A
AFROAMER/GEN&WS 221,148,70,43,18,5,5,2,0,A
AFROAMER/GEN&WS 222,1063,502,243,188,34,50,14,11,B
AFROAMER 225,438,294,78,22,16,10,8,7,A
AFROAMER 227,2180,914,598,369,127,83,23,25,B
AFROAMER 231,2598,1329,412,526,98,102,39,13,A
AFROAMER/AFRICAN 233,906,301,223,134,95,78,24,19,B
AFROAMER/ART HIST 241,877,395,234,98,26,16,7,2,A
AFROAMER/ART HIST 242,1356,674,314,195,50,39,16,5,A
AFROAMER/ANTHRO/C&E SOC/GEOG/HISTORY/LACIS/POLI SCI/SOC/SPANISH 260,1388,616,292,229,76,65,12,22,B
AFROAMER 265,143,85,30,19,4,2,0,0,A
AFROAMER/GEN&WS 267,75,51,15,5,0,0,0,0,A
AFROAMER 271,1091,745,203,67,15,16,9,4,A
AFROAMER 272,941,629,135,81,3,4,0,2,A
AFROAMER/HIST SCI 275,357,167,118,37,13,9,3,5,A
AFROAMER/AFRICAN/ANTHRO/GEOG/HISTORY/POLI SCI/SOC 277,5865,1626,1688,1319,507,283,82,81,B
AFROAMER/AFRICAN/HISTORY/POLI SCI 297,71,30,22,13,3,2,1,0,A
AFROAMER 302,125,39,22,39,10,3,3,1,B
AFROAMER 303,349,112,109,62,30,9,6,1,B
AFROAMER/DANCE/MUSIC 318,260,226,7,6,1,1,0,4,A
AFROAMER/ASIAN AM/DANCE/FOLKLORE 319,46,36,6,0,1,2,0,0,A
AFROAMER/HISTORY 321,142,20,69,24,3,3,4,6,B
AFROAMER/HISTORY 322,31,16,5,8,2,0,0,0,A
AFROAMER/GEN&WS 323,36,28,3,1,0,0,0,2,A
AFROAMER/GEN&WS 324,324,103,72,100,17,18,3,0,B
AFROAMER/GEN&WS 326,678,221,138,194,42,42,10,4,B
AFROAMER/GEN&WS 333,263,104,117,23,6,6,2,2,A
AFROAMER 337,49,29,10,3,1,2,2,1,A
AFROAMER 338,181,130,23,10,3,2,0,0,A
AFROAMER/HISTORY 347,582,180,163,111,34,41,16,16,B
AFROAMER/GEN&WS 367,26,12,5,5,0,0,0,0,A
AFROAMER/HISTORY 393,1018,261,248,240,68,58,20,17,B
AFROAMER/RELIG ST 404,24,4,12,4,2,0,1,1,B
AFROAMER/AFRICAN 413,110,44,20,30,7,5,0,1,B
AFROAMER 456,37,20,7,3,2,2,0,0,A
AFROAMER 469,353,256,50,19,8,3,3,1,A
AFROAMER 501,23,9,6,2,1,3,1,0,B
AFROAMER/POLI SCI 519,131,41,54,16,8,2,0,3,B
AFROAMER/HIST SCI/MED HIST 523,218,113,60,25,2,1,1,0,A
AFROAMER 525,147,69,24,24,6,8,4,3,B
AFROAMER/ED POL 567,127,63,38,6,5,0,4,0,A
AFROAMER/GEN&WS 624,94,31,18,19,7,7,3,3,B
AFROAMER/GEN&WS 625,83,24,21,19,6,4,2,0,B
AFROAMER/HISTORY 628,496,74,214,103,27,26,3,19,B
AFROAMER 631,37,5,14,7,1,3,1,1,B
AFROAMER 669,23,8,6,6,1,0,0,0,A
AFROAMER 671,303,127,68,58,14,10,1,3,B
AFROAMER/ENGL 672,362,177,60,69,12,7,4,4,A
AFROAMER 673,158,33,77,32,4,3,0,1,B
AFROAMER 675,128,64,24,23,3,2,1,4,B
AFROAMER/GEN&WS 677,91,39,20,19,1,6,1,2,B
AFROAMER/GEN&WS 679,85,54,15,10,3,1,0,0,A
AFROAMER 681,303,127,68,58,14,10,1,3,B
AFROAMER 682,496,74,214,103,27,26,3,19,B
AFROAMER 691,0,0,0,0,0,0,0,0,
AFROAMER 692,0,0,0,0,0,0,0,0,
AFROAMER 699,37,24,4,5,0,1,0,1,A
AFROAMER/ED POL/HISTORY 712,17,16,1,0,0,0,0,0,A
AFROAMER 790,7,0,0,0,0,0,0,0,
AFROAMER/ART HIST 801,160,133,9,1,0,0,0,0,A
AFROAMER/ART HIST 802,98,80,8,0,0,0,0,0,A
AFROAMER/AFRICAN 813,110,44,20,30,7,5,0,1,B
A A E 1,0,0,0,0,0,0,0,0,
A A E 215,4161,1021,833,1266,478,376,118,35,B
A A E/ENVIR ST 244,799,309,174,161,60,66,12,6,B
A A E 246,558,201,117,144,37,35,10,5,B
A A E 267,54,49,3,2,0,0,0,0,A
A A E 289,0,0,0,0,0,0,0,0,
A A E 299,0,0,0,0,0,0,0,0,
A A E/ECON/REAL EST/URB R PL 306,8903,2832,1786,2288,937,743,176,38,B
A A E 319,192,50,45,47,21,20,4,5,B
A A E 320,828,294,221,151,53,71,22,13,B
A A E 322,882,227,126,209,105,138,42,17,BC
A A E 323,494,127,126,139,35,37,16,8,B
A A E 335,362,211,92,30,5,6,3,9,A
A A E/C&E SOC/SOC 340,263,223,24,7,0,3,1,2,A
A A E/ECON/ENVIR ST 343,2930,689,509,736,366,397,117,66,BC
A A E/AGRONOMY/NUTR SCI 350,3677,1530,1046,592,261,134,55,17,B
A A E 352,278,111,67,39,28,20,7,6,B
A A E/AGRONOMY/HORT/PL PATH 367,27,17,7,1,0,0,0,0,A
A A E/ECON 371,182,54,51,53,17,4,1,1,B
A A E/INTL ST 373,557,181,172,141,20,16,5,2,B
A A E/INTL ST 374,777,219,214,183,69,42,16,21,B
A A E 375,852,540,158,81,22,17,4,5,A
A A E 399,15,14,1,0,0,0,0,0,A
A A E 400,6,5,1,0,0,0,0,0,A
A A E 419,616,311,112,100,42,20,18,4,B
A A E/ECON 421,637,144,133,127,81,77,44,16,BC
A A E 422,45,5,15,9,8,5,3,0,BC
A A E/ECON/INTL BUS 462,541,273,125,81,28,12,8,7,A
A A E/ECON 473,314,105,65,63,37,19,7,6,B
A A E/ECON 474,908,393,193,151,74,63,15,7,B
A A E/ECON 477,426,142,110,87,34,20,14,11,B
A A E 500,491,322,58,57,17,26,0,4,A
A A E/REAL EST/URB R PL 520,83,57,17,6,0,0,0,0,A
A A E/ECON 526,78,24,20,11,7,7,1,0,B
A A E/ECON/F&W ECOL 531,265,74,73,73,19,19,1,0,B
A A E/M H R 540,56,19,15,14,2,3,0,0,B
A A E/CIV ENGR/ENVIR ST/URB R PL 561,70,40,11,15,0,2,0,0,A
A A E 601,1171,704,277,111,29,17,4,4,A
A A E 625,8,8,0,0,0,0,0,0,A
A A E 635,308,83,107,87,18,3,1,0,B
A A E 636,464,223,106,94,20,2,6,3,A
A A E 637,202,53,34,32,4,1,0,0,A
A A E 641,33,26,4,1,1,0,0,0,A
A A E 642,87,47,24,8,1,0,0,0,A
A A E 643,130,77,22,17,6,3,2,0,A
A A E/F&W ECOL 652,157,83,29,23,11,6,3,0,A
A A E 670,11,9,1,0,0,0,0,0,A
A A E/ECON/ENVIR ST/URB R PL 671,505,240,104,83,25,33,6,1,B
A A E 681,0,0,0,0,0,0,0,0,
A A E 682,0,0,0,0,0,0,0,0,
A A E 691,0,0,0,0,0,0,0,0,
A A E 692,1,1,0,0,0,0,0,0,A
A A E 699,55,20,11,8,6,5,3,2,B
A A E 701,107,87,11,4,1,2,0,0,A
A A E 705,20,11,6,0,1,1,0,0,A
A A E 706,119,73,35,7,0,0,0,1,A
A A E 718,224,105,81,27,1,0,0,0,A
A A E 719,11,4,4,3,0,0,0,0,A
A A E 720,80,49,23,6,1,0,0,0,A
A A E 721,84,47,24,9,2,0,0,0,A
A A E 722,32,15,10,6,1,0,0,0,A
A A E 723,53,48,2,2,0,0,0,0,A
A A E 724,42,9,5,7,1,0,0,0,A
A A E 730,61,26,15,12,6,0,0,0,A
A A E 731,70,11,13,2,0,0,0,1,A
A A E 737,58,18,30,10,0,0,0,0,A
A A E 746,0,0,0,0,0,0,0,0,
A A E/ECON 747,15,14,0,0,0,0,0,0,A
A A E 750,309,221,63,19,1,0,0,0,A
A A E 760,45,37,3,0,0,0,0,0,A
A A E 762,73,49,14,4,0,1,0,0,A
A A E 770,32,12,13,5,0,0,0,0,A
A A E 771,73,19,27,22,4,1,0,0,B
A A E 772,108,51,28,17,5,3,0,0,A
A A E 773,112,64,32,14,2,0,0,0,A
A A E 774,64,46,10,7,1,0,0,0,A
A A E 776,0,0,0,0,0,0,0,0,
A A E 777,55,25,16,8,5,0,0,0,A
A A E 780,63,54,7,1,0,0,0,0,A
A A E 799,0,0,0,0,0,0,0,0,
A A E/POLI SCI 835,172,70,72,28,2,0,0,0,A
A A E 875,88,53,12,9,0,0,0,0,A
A A E/ENVIR ST/POP HLTH/PUB AFFR 881,587,370,140,52,9,4,0,0,A
A A E 899,627,464,91,31,1,3,0,0,A
A A E/ANTHRO/C&E SOC/GEOG/HISTORY/LACIS/POLI SCI/PORTUG/SOC/SPANISH 982,151,106,35,5,0,0,0,0,A
A A E 990,126,0,0,0,0,0,0,0,
A A E 999,4,2,1,0,0,0,0,0,A
AGROECOL/AGRONOMY/C&E SOC/ENTOM/ENVIR ST 103,1044,559,228,145,46,25,12,6,A
AGROECOL/AGRONOMY/DY SCI 371,8,8,0,0,0,0,0,0,A
AGROECOL 699,11,10,0,0,0,0,0,0,A
AGROECOL 701,170,166,1,1,0,0,0,0,A
AGROECOL 702,181,175,3,3,0,0,0,0,A
AGROECOL 710,20,0,0,0,0,0,0,0,
AGROECOL 720,166,165,0,0,0,0,0,0,A
AGROECOL/AGRONOMY/ENVIR ST 724,124,92,21,4,2,1,0,0,A
AGROECOL 875,13,13,0,0,0,0,0,0,A
AGROECOL 990,8,0,0,0,0,0,0,0,
AGRONOMY 100,978,310,236,253,77,73,5,6,B
AGRONOMY/AGROECOL/C&E SOC/ENTOM/ENVIR ST 103,1044,559,228,145,46,25,12,6,A
AGRONOMY/ENTOM/NUTR SCI 203,5860,4280,963,485,39,42,18,4,A
AGRONOMY 289,19,17,1,0,0,1,0,0,A
AGRONOMY 299,19,17,1,0,0,1,0,0,A
AGRONOMY 300,448,171,62,109,25,62,3,0,B
AGRONOMY 302,264,120,46,53,13,23,3,1,B
AGRONOMY/HORT/SOIL SCI 326,321,114,68,87,2,31,10,3,B
AGRONOMY/HORT 338,493,181,47,128,35,57,24,15,B
AGRONOMY/BOTANY/HORT 339,155,81,38,24,9,3,0,0,A
AGRONOMY/BOTANY/HORT 340,87,25,20,23,4,10,1,3,B
AGRONOMY/A A E/NUTR SCI 350,3677,1530,1046,592,261,134,55,17,B
AGRONOMY/ENTOM/HORT/PL PATH/SOIL SCI 354,24,12,6,4,1,0,0,0,A
AGRONOMY/HORT 360,142,45,35,32,8,10,4,3,B
AGRONOMY/A A E/HORT/PL PATH 367,27,17,7,1,0,0,0,0,A
AGRONOMY/BOTANY/SOIL SCI 370,1305,1124,99,34,14,11,5,8,A
AGRONOMY/AGROECOL/DY SCI 371,8,8,0,0,0,0,0,0,A
AGRONOMY 375,551,327,90,86,22,9,2,2,A
AGRONOMY/HORT 376,249,184,41,13,5,1,1,0,A
AGRONOMY 377,416,294,52,45,3,11,0,1,A
AGRONOMY 399,10,9,0,0,0,0,0,0,A
AGRONOMY 400,448,171,62,109,25,62,3,0,B
AGRONOMY/DY SCI 471,99,78,10,8,1,1,0,0,A
AGRONOMY 500,192,147,30,11,0,0,0,0,A
AGRONOMY/HORT 501,313,88,57,74,34,30,11,4,B
AGRONOMY/HORT 502,68,46,14,4,3,0,0,0,A
AGRONOMY/ATM OCN/SOIL SCI 532,145,95,30,17,0,1,0,0,A
AGRONOMY/C&E SOC/MED HIST/PHILOS 565,229,80,79,39,17,8,0,1,B
AGRONOMY/AN SCI/GENETICS/HORT 615,21,9,6,2,0,0,0,0,A
AGRONOMY/ENTOM/F&W ECOL/M&ENVTOX 632,205,83,53,38,16,8,1,1,B
AGRONOMY/ENTOM/F&W ECOL/M&ENVTOX 633,134,76,25,24,2,4,0,0,A
AGRONOMY/ENTOM/F&W ECOL/M&ENVTOX 634,123,49,35,29,4,4,0,0,A
AGRONOMY 681,0,0,0,0,0,0,0,0,
AGRONOMY 682,0,0,0,0,0,0,0,0,
AGRONOMY 699,26,20,2,1,0,0,0,0,A
AGRONOMY/AGROECOL/ENVIR ST 724,124,92,21,4,2,1,0,0,A
AGRONOMY 771,14,0,0,0,0,0,0,0,
AGRONOMY 772,16,0,0,0,0,0,0,0,
AGRONOMY 799,10,8,0,0,0,0,0,0,A
AGRONOMY/HORT 811,132,74,31,15,5,0,0,0,A
AGRONOMY/HORT 812,30,12,10,2,1,0,0,0,A
AGRONOMY 875,374,304,35,6,2,1,1,0,A
AGRONOMY 920,58,57,1,0,0,0,0,0,A
AGRONOMY/ATM OCN/BOTANY/ENTOM/ENVIR ST/F&W ECOL/GEOG/ZOOLOGY 953,82,0,0,0,0,0,0,0,
AGRONOMY/GENETICS/HORT 957,436,335,70,25,2,1,0,0,A
AGRONOMY 990,166,0,0,0,0,0,0,0,
A F AERO 101,440,302,88,29,8,7,1,1,A
A F AERO 102,340,260,56,15,5,1,1,0,A
A F AERO 201,358,254,80,11,5,3,0,1,A
A F AERO 202,251,179,53,10,4,2,0,1,A
A F AERO 301,129,118,9,2,0,0,0,0,A
A F AERO 302,100,95,5,0,0,0,0,0,A
A F AERO 401,221,169,46,5,0,0,0,0,A
A F AERO 402,187,146,35,5,1,0,0,0,A
A F AERO 501,119,0,0,0,0,0,0,0,
A F AERO 502,116,0,0,0,0,0,0,0,
AMER IND 100,3323,1905,760,341,132,76,26,33,A
AMER IND/AFROAMER/ASIAN AM/CHICLA/FOLKLORE 102,1567,1066,256,145,25,24,6,7,A
AMER IND/ENGL 172,1473,628,368,263,110,42,19,21,B
AMER IND/HISTORY 190,67,45,7,4,0,3,1,1,A
AMER IND 199,67,45,7,4,0,3,1,1,A
AMER IND/ENGL 246,94,62,17,7,3,1,2,1,A
AMER IND 250,360,186,59,48,30,12,2,1,A
AMER IND 301,209,96,52,26,6,9,6,8,B
AMER IND 302,57,34,0,14,3,0,1,0,A
AMER IND 303,59,51,1,1,2,0,0,2,A
AMER IND 304,7,5,0,0,1,0,0,1,B
AMER IND/ENVIR ST 306,904,466,244,87,28,19,7,12,A
AMER IND 308,14,11,0,1,0,0,0,0,A
AMER IND/ANTHRO 314,2067,472,365,435,288,367,44,27,BC
AMER IND 320,169,80,30,25,18,7,0,3,B
AMER IND 325,234,132,47,22,6,10,2,5,A
AMER IND/CSCS 330,172,108,23,14,7,6,1,4,A
AMER IND/ENVIR ST 341,39,19,11,0,1,2,0,0,A
AMER IND/ENVIR ST/GEOG 345,191,76,59,33,4,2,0,2,A
AMER IND/ANTHRO 354,241,97,41,43,24,17,3,4,B
AMER IND/LINGUIS 371,332,224,68,22,4,1,1,2,A
AMER IND 401,24,14,1,4,2,1,0,2,B
AMER IND 402,7,7,0,0,0,0,0,0,A
AMER IND 403,0,0,0,0,0,0,0,0,
AMER IND 404,7,7,0,0,0,0,0,0,A
AMER IND/GEOG 410,33,24,1,5,1,0,0,0,A
AMER IND 425,0,0,0,0,0,0,0,0,
AMER IND/ANTHRO/FOLKLORE 431,94,53,15,9,4,4,4,1,B
AMER IND/ANTHRO/FOLKLORE/GEN&WS 437,224,146,40,12,9,4,4,6,A
AMER IND/LSC 444,375,214,76,31,11,16,1,2,A
AMER IND 450,1303,741,226,171,38,57,10,10,A
AMER IND/ANTHRO/BOTANY 474,661,400,120,73,23,12,8,1,A
AMER IND/C&E SOC/SOC 578,306,95,71,40,22,30,12,7,B
AMER IND/SOC WORK 636,32,25,5,1,1,0,0,0,A
AMER IND 699,17,17,0,0,0,0,0,0,A
AMER IND/HISTORY 941,15,12,1,0,0,0,0,0,A
ANATOMY 329,2314,1314,455,329,96,94,18,7,A
ANATOMY 622,59,29,25,3,1,0,0,0,A
ANATOMY 699,149,142,3,2,0,0,0,0,A
ANAT&PHY 235,611,156,144,145,84,49,12,10,B
ANAT&PHY 335,4407,1211,504,1074,393,691,323,108,BC
ANAT&PHY 337,3813,1170,735,593,417,508,223,81,B
ANAT&PHY 338,1969,729,435,326,188,174,54,18,B
ANAT&PHY 399,72,72,0,0,0,0,0,0,A
ANAT&PHY 435,479,157,56,100,38,57,31,12,B
ANAT&PHY 699,64,64,0,0,0,0,0,0,A
ANESTHES 699,23,23,0,0,0,0,0,0,A
ANESTHES 910,0,0,0,0,0,0,0,0,
ANESTHES 911,0,0,0,0,0,0,0,0,
ANESTHES 919,39,4,0,0,0,0,0,0,A
ANESTHES 920,61,29,1,0,0,0,0,0,A
ANESTHES 922,10,0,0,0,0,0,0,0,
ANESTHES 930,578,479,26,3,0,0,0,0,A
ANESTHES 940,6,0,0,0,0,0,0,0,
ANESTHES 950,0,0,0,0,0,0,0,0,
AN SCI 1,0,0,0,0,0,0,0,0,
AN SCI/DY SCI 101,1959,600,361,701,140,121,13,14,B
AN SCI/DY SCI 102,175,149,12,9,1,3,0,0,A
AN SCI 110,75,72,3,0,0,0,0,0,A
AN SCI 135,116,107,3,6,0,0,0,0,A
AN SCI 200,4743,1271,891,853,638,667,279,89,BC
AN SCI 240,3660,2229,398,550,146,192,72,32,A
AN SCI 245,119,43,33,21,11,6,0,2,B
AN SCI 289,0,0,0,0,0,0,0,0,
AN SCI 299,13,13,0,0,0,0,0,0,A
AN SCI/FOOD SCI 305,561,129,89,160,55,105,14,4,B
AN SCI/DY SCI/NUTR SCI 311,1056,244,213,213,169,134,56,15,BC
AN SCI 314,142,81,41,15,2,3,0,0,A
AN SCI 315,1687,926,500,166,67,16,10,1,A
AN SCI/DY SCI 320,410,186,64,90,31,27,8,0,B
AN SCI/FOOD SCI 321,665,284,198,102,32,19,5,4,A
AN SCI/BOTANY/MICROBIO 335,141,55,35,29,11,7,2,0,B
AN SCI 336,68,65,2,1,0,0,0,0,A
AN SCI/BSE 344,1470,597,375,240,87,40,16,26,B
AN SCI/DY SCI 361,899,228,70,290,59,182,47,6,BC
AN SCI/DY SCI 362,397,99,62,113,41,53,20,3,B
AN SCI/DY SCI 363,461,178,31,137,26,55,24,8,B
AN SCI 366,22,10,9,3,0,0,0,0,A
AN SCI/DY SCI 370,318,126,99,68,18,4,0,0,A
AN SCI/DY SCI 373,426,128,40,116,28,72,30,6,BC
AN SCI 375,1025,715,128,99,32,26,5,6,A
AN SCI 377,77,69,1,2,3,1,0,0,A
AN SCI 399,2,2,0,0,0,0,0,0,A
AN SCI 400,475,290,71,76,17,12,1,1,A
AN SCI/DY SCI 414,359,100,58,92,56,28,19,4,B
AN SCI 415,131,97,14,10,2,4,1,0,A
AN SCI 420,48,20,17,5,5,0,0,0,A
AN SCI 431,223,61,35,71,23,28,3,0,B
AN SCI 432,108,74,23,7,1,3,0,0,A
AN SCI/DY SCI 434,1112,302,347,263,145,48,2,2,B
AN SCI 435,568,467,74,21,0,1,0,2,A
